name,latitude,longitude,nearest_road,vehicle_count,distance,traffic_level,recommended_action
Staff Car Park,52.45390893822564,-1.9358725294066,B4124,14860,0.009542300353797325,Medium,Monitor
Car Park D Patients & Visitors,52.45384942175032,-1.9401183664242063,B4129,9690,0.005869119982301617,Low,No Immediate Action
Staff Car Park,52.45268871313807,-1.9423150777190128,B4129,9690,0.003633282195997139,Low,No Immediate Action
National Blood Transfusion Service Staff Car Park,52.45246376773859,-1.9355855613283943,A38,27942,0.009731397234238725,High,Redirect Overflow
Lee Longlands Customer Car Park,52.47568307251738,-1.9120508483026684,A4540,45374,0.0042558154802683715,Very High,Infrastructure Expansion
Great Charles Street Car Park,52.48311888967511,-1.9030966141462269,A38,66762,0.004094918682343181,Very High,Infrastructure Expansion
Kings Norton Station Car Park,52.41383755164768,-1.933890346567014,A4040,13073,0.004824870839497367,Medium,Monitor
Match Officials car park,52.45534503486192,-1.9006792653882547,A441,21864,0.00677789277493584,Medium,Monitor
NCP Gough Street,52.47528596815442,-1.902059420020621,A38,49151,0.002854120385428374,Very High,Infrastructure Expansion
NCP New Street,52.47574039655976,-1.9004186213467276,A38,49151,0.0020950536837047577,Very High,Infrastructure Expansion
Visitors' Car Park,52.47929913845071,-1.8302873104056148,C,9978,0.009238242103704794,Low,No Immediate Action
Arcadian Car Park,52.47416419903709,-1.8955928409168563,U,2423,0.0030840831395405645,Low,No Immediate Action
Euro Car Parks Fiveways,52.47369280054294,-1.915262209327352,A4540,45374,0.0030420227584345544,Very High,Infrastructure Expansion
Arena Birmingham South,52.479267203958926,-1.916771639968317,B4135,14064,0.00427197030381043,Medium,Monitor
Euro Car Parks Fiveways,52.474338933305255,-1.9144833836629804,A4540,45374,0.003108455910893293,Very High,Infrastructure Expansion
Jewellery Quarter Car Park,52.4884691363471,-1.912093086053757,A4540,32897,0.00459775858602921,High,Redirect Overflow
Abacus,52.47282234803531,-1.883161287756703,U,619,0.006037874440891373,Low,No Immediate Action
Lower Tower Street,52.49078876993991,-1.8976401688050508,A4540,29340,0.0019202403548001896,High,Redirect Overflow
Star City multi-storey,52.505415615281656,-1.8539586151539456,A38,42755,0.002672459414719047,Very High,Infrastructure Expansion
Lionel Street Car Park,52.48337130319901,-1.903462047037975,A38,66762,0.004031265306914952,Very High,Infrastructure Expansion
Smith Street Car Park,52.491604358153616,-1.908384481719705,A4540,28508,0.0029688714960554997,High,Redirect Overflow
Barr Street,52.4911255453173,-1.9091333207496648,A4540,28508,0.0029387341561430418,High,Redirect Overflow
The Rex Centre Parking,52.47093119732319,-1.8609967217293444,U,8461,0.005003617941081221,Low,No Immediate Action
Community Hall Parking,52.48043898208117,-1.914962088194195,B4135,14064,0.0022063947964170087,Medium,Monitor
Brewery Street Coach and Lorry Park,52.4896962973434,-1.893820556176496,A4540,36313,0.0029556295890511776,High,Redirect Overflow
Car Park 12,52.48450115725714,-1.8884119081378128,A38,73125,0.0044015444032578345,Very High,Infrastructure Expansion
Millennium Point Car Park,52.48390253267109,-1.8851573831378767,A4540,35141,0.004120514880257397,High,Redirect Overflow
Hill Street Car Park,52.47628657054884,-1.89913665516132,A38,49151,0.0025300367898160015,Very High,Infrastructure Expansion
Edgbaston reservoir Parking,52.47737472313263,-1.936298988228204,B4125,8519,0.005294451909229943,Low,No Immediate Action
Air Parks Airport Parking,52.47180290215377,-1.769856030596618,C,16452,0.00439446131942627,Medium,Monitor
96 Bath St Parking,52.48639003628223,-1.896295865684199,A38,69156,0.000419416146880306,Very High,Infrastructure Expansion
South Parade Car Park,52.55953699320053,-1.8199813416114976,U,7713,0.0019263935056533048,Low,No Immediate Action
Jaguar - Rail head parking,52.5109298600307,-1.806022188046556,A38,28043,0.0069627149714011575,High,Redirect Overflow
Mill Street,52.56385061829153,-1.822869631398314,A5127,9518,0.0021332272833386257,Low,No Immediate Action
Sutton Coldfield Baptist Church Car Park,52.56313146250533,-1.822113351408535,A5127,9518,0.0010970686503509425,Low,No Immediate Action
Sutton Coldfield Baptist Church (Top Car Park),52.56371027497537,-1.822417695887346,A5127,9518,0.0017458172796185013,Low,No Immediate Action
Birmingham City Council Staff Car Park,52.487476051344295,-1.892360167090862,A38,73125,0.0015130078369196486,Very High,Infrastructure Expansion
Calthorpe Arms,52.5155956972818,-1.912130027034441,A34,13597,0.011465744912129346,Medium,Monitor
Tesco,52.51330897733382,-1.8883687188490372,A4040,15455,0.005120937981089706,Medium,Monitor
Northfield Shopping Centre,52.41696375800025,-1.9680762826911564,A38,21128,0.0011439388890502082,Medium,Monitor
Signet Jewellers ( H Samuel) Staff Car Park,52.49583703869431,-1.91423094373556,A41,14333,0.002347790646705771,Medium,Monitor
Temple Car Park,52.503618956796345,-1.9325441202663816,A41,17383,0.005059105226400589,Medium,Monitor
Hanley Street Car Park,52.48850153753179,-1.897092384416453,A38,69156,0.002568820955830861,Very High,Infrastructure Expansion
Cecil Street Car Park,52.48888725631478,-1.896431548188192,A38,69156,0.0028785480111939276,Very High,Infrastructure Expansion
Cadbury World,52.42987475719487,-1.929571242995894,U,4227,0.004250386563877749,Low,No Immediate Action
Cadbury World,52.43003108045097,-1.933134002244318,U,4227,0.0010475849439921636,Low,No Immediate Action
Cadbury World,52.43012034228891,-1.9306434751041983,U,4227,0.0031507752332304876,Low,No Immediate Action
Hanley Street / Summer Lane Car Park,52.48873460493522,-1.8984361402184424,U,496,0.0026552341429290785,Low,No Immediate Action
Hospital Street,52.48710546151907,-1.900850272870797,U,496,0.0034899868203226523,Low,No Immediate Action
"TV, Media Compound",52.51044749799583,-1.885467612092874,A4040,15455,0.0036849845804989147,Medium,Monitor
Villa Village Parking,52.51042731780904,-1.886602214236468,A4040,15455,0.004474527225110947,Medium,Monitor
